accession,name,url,organism_name,infraspecific_name,asm_name
GCA_037178275.1,GCA_037178275.1 Leishmania infantum strain=MCAN/IT/2019/4549 ASM3717827v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/037/178/275/GCA_037178275.1_ASM3717827v1,Leishmania infantum,strain=MCAN/IT/2019/4549,ASM3717827v1
GCA_037178395.1,GCA_037178395.1 Leishmania infantum strain=MHOM/ES/2022/LLM-2503 ASM3717839v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/037/178/395/GCA_037178395.1_ASM3717839v1,Leishmania infantum,strain=MHOM/ES/2022/LLM-2503,ASM3717839v1
GCA_037178485.1,GCA_037178485.1 Leishmania infantum strain=MCAN/IT/2021/59383 ASM3717848v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/037/178/485/GCA_037178485.1_ASM3717848v1,Leishmania infantum,strain=MCAN/IT/2021/59383,ASM3717848v1
GCA_037178515.1,GCA_037178515.1 Leishmania infantum strain=LCAN/ES/2020/CATB102 ASM3717851v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/037/178/515/GCA_037178515.1_ASM3717851v1,Leishmania infantum,strain=LCAN/ES/2020/CATB102,ASM3717851v1
GCA_037178585.1,GCA_037178585.1 Leishmania infantum strain=MHOM/ES/2016/CATB101 ASM3717858v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/037/178/585/GCA_037178585.1_ASM3717858v1,Leishmania infantum,strain=MHOM/ES/2016/CATB101,ASM3717858v1
GCA_037178165.1,GCA_037178165.1 Leishmania infantum strain=MCAN/IL/2011/NT2 ASM3717816v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/037/178/165/GCA_037178165.1_ASM3717816v1,Leishmania infantum,strain=MCAN/IL/2011/NT2,ASM3717816v1
GCA_037178265.1,GCA_037178265.1 Leishmania infantum strain=MCAN/IT/2019/3299 ASM3717826v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/037/178/265/GCA_037178265.1_ASM3717826v1,Leishmania infantum,strain=MCAN/IT/2019/3299,ASM3717826v1
GCA_037178305.1,GCA_037178305.1 Leishmania infantum strain=MCAN/IT/2020/4299 ASM3717830v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/037/178/305/GCA_037178305.1_ASM3717830v1,Leishmania infantum,strain=MCAN/IT/2020/4299,ASM3717830v1
GCA_037178365.1,GCA_037178365.1 Leishmania infantum strain=MHOM/ES/2022/LLM-2505 ASM3717836v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/037/178/365/GCA_037178365.1_ASM3717836v1,Leishmania infantum,strain=MHOM/ES/2022/LLM-2505,ASM3717836v1
GCA_037178465.1,GCA_037178465.1 Leishmania infantum strain=MCAN/IT/2022/2885 ASM3717846v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/037/178/465/GCA_037178465.1_ASM3717846v1,Leishmania infantum,strain=MCAN/IT/2022/2885,ASM3717846v1
GCA_037178565.1,GCA_037178565.1 Leishmania infantum strain=MCRI/ES/2006/CATB033 ASM3717856v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/037/178/565/GCA_037178565.1_ASM3717856v1,Leishmania infantum,strain=MCRI/ES/2006/CATB033,ASM3717856v1
GCA_037177915.1,GCA_037177915.1 Leishmania infantum strain=LCAN/ES/2023/CATB107 ASM3717791v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/037/177/915/GCA_037177915.1_ASM3717791v1,Leishmania infantum,strain=LCAN/ES/2023/CATB107,ASM3717791v1
GCA_037178015.1,GCA_037178015.1 Leishmania infantum strain=N1HROMA3 ASM3717801v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/037/178/015/GCA_037178015.1_ASM3717801v1,Leishmania infantum,strain=N1HROMA3,ASM3717801v1
GCA_037178045.1,GCA_037178045.1 Leishmania infantum strain=N1HROMA1 ASM3717804v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/037/178/045/GCA_037178045.1_ASM3717804v1,Leishmania infantum,strain=N1HROMA1,ASM3717804v1
GCA_037178075.1,GCA_037178075.1 Leishmania infantum strain=MCAN/IT/2018/4586 ASM3717807v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/037/178/075/GCA_037178075.1_ASM3717807v1,Leishmania infantum,strain=MCAN/IT/2018/4586,ASM3717807v1
GCA_037178125.1,GCA_037178125.1 Leishmania infantum strain=MCAN/IT/2022/21SCIACCA ASM3717812v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/037/178/125/GCA_037178125.1_ASM3717812v1,Leishmania infantum,strain=MCAN/IT/2022/21SCIACCA,ASM3717812v1
GCA_037178145.1,GCA_037178145.1 Leishmania infantum strain=MHOM/TN/80/IPT-1 (ATCC 50134D) ASM3717814v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/037/178/145/GCA_037178145.1_ASM3717814v1,Leishmania infantum,strain=MHOM/TN/80/IPT-1 (ATCC 50134D),ASM3717814v1
GCA_037178175.1,GCA_037178175.1 Leishmania infantum strain=MCAN/IL/2011/NT6 ASM3717817v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/037/178/175/GCA_037178175.1_ASM3717817v1,Leishmania infantum,strain=MCAN/IL/2011/NT6,ASM3717817v1
GCA_037178235.1,GCA_037178235.1 Leishmania infantum strain=LCAN/ES/2022/CATB104 ASM3717823v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/037/178/235/GCA_037178235.1_ASM3717823v1,Leishmania infantum,strain=LCAN/ES/2022/CATB104,ASM3717823v1
GCA_037178315.1,GCA_037178315.1 Leishmania infantum strain=MCAN/IT/2021/18017 ASM3717831v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/037/178/315/GCA_037178315.1_ASM3717831v1,Leishmania infantum,strain=MCAN/IT/2021/18017,ASM3717831v1
GCA_037178345.1,GCA_037178345.1 Leishmania infantum strain=LCAN/ES/1992/CATB011 ASM3717834v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/037/178/345/GCA_037178345.1_ASM3717834v1,Leishmania infantum,strain=LCAN/ES/1992/CATB011,ASM3717834v1
GCA_037178385.1,GCA_037178385.1 Leishmania infantum strain=MHOM/ES/2021/LLL-2500 ASM3717838v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/037/178/385/GCA_037178385.1_ASM3717838v1,Leishmania infantum,strain=MHOM/ES/2021/LLL-2500,ASM3717838v1
GCA_037178405.1,GCA_037178405.1 Leishmania infantum strain=MCAN/PT/2012/IMT397 ASM3717840v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/037/178/405/GCA_037178405.1_ASM3717840v1,Leishmania infantum,strain=MCAN/PT/2012/IMT397,ASM3717840v1
GCA_037178525.1,GCA_037178525.1 Leishmania infantum strain=MHOM/IT/2008/31U ASM3717852v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/037/178/525/GCA_037178525.1_ASM3717852v1,Leishmania infantum,strain=MHOM/IT/2008/31U,ASM3717852v1
GCA_037177905.1,GCA_037177905.1 Leishmania infantum strain=LCAN/ES/2023/CATB105 ASM3717790v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/037/177/905/GCA_037177905.1_ASM3717790v1,Leishmania infantum,strain=LCAN/ES/2023/CATB105,ASM3717790v1
GCA_037178005.1,GCA_037178005.1 Leishmania infantum strain=N1HROMA2 ASM3717800v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/037/178/005/GCA_037178005.1_ASM3717800v1,Leishmania infantum,strain=N1HROMA2,ASM3717800v1
GCA_037178095.1,GCA_037178095.1 Leishmania infantum strain=MHOM/IT/2017/1533U ASM3717809v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/037/178/095/GCA_037178095.1_ASM3717809v1,Leishmania infantum,strain=MHOM/IT/2017/1533U,ASM3717809v1
GCA_037178195.1,GCA_037178195.1 Leishmania infantum strain=MCAN/IL/2009/TR2 ASM3717819v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/037/178/195/GCA_037178195.1_ASM3717819v1,Leishmania infantum,strain=MCAN/IL/2009/TR2,ASM3717819v1
GCA_037178505.1,GCA_037178505.1 Leishmania infantum strain=MCAN/IT/2020/1265 ASM3717850v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/037/178/505/GCA_037178505.1_ASM3717850v1,Leishmania infantum,strain=MCAN/IT/2020/1265,ASM3717850v1
GCA_037177945.1,GCA_037177945.1 Leishmania infantum strain=LCAN/ES/2020/CATB103 ASM3717794v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/037/177/945/GCA_037177945.1_ASM3717794v1,Leishmania infantum,strain=LCAN/ES/2020/CATB103,ASM3717794v1
GCA_037177955.1,GCA_037177955.1 Leishmania infantum strain=N1HROMA6 ASM3717795v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/037/177/955/GCA_037177955.1_ASM3717795v1,Leishmania infantum,strain=N1HROMA6,ASM3717795v1
GCA_037178065.1,GCA_037178065.1 Leishmania infantum strain=MCAN/IT/2018/1380 ASM3717806v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/037/178/065/GCA_037178065.1_ASM3717806v1,Leishmania infantum,strain=MCAN/IT/2018/1380,ASM3717806v1
GCA_033953505.1,GCA_033953505.1 Leishmania tarentolae ASM3395350v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/033/953/505/GCA_033953505.1_ASM3395350v1,Leishmania tarentolae,na,ASM3395350v1
GCA_028455865.1,GCA_028455865.1 Trypanosoma cruzi strain=H1 DTU Tc1 ASM2845586v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/028/455/865/GCA_028455865.1_ASM2845586v1,Trypanosoma cruzi,strain=H1 DTU Tc1,ASM2845586v1
GCA_030265225.1,GCA_030265225.1 Trypanosoma cruzi UV_Tcruzi_1.0,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/265/225/GCA_030265225.1_UV_Tcruzi_1.0,Trypanosoma cruzi,na,UV_Tcruzi_1.0
GCA_033441735.1,GCA_033441735.1 Trypanosoma cruzi strain=STIB980 STIB980v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/033/441/735/GCA_033441735.1_STIB980v1,Trypanosoma cruzi,strain=STIB980,STIB980v1
GCA_034509385.1,GCA_034509385.1 Trypanosoma cruzi strain=Tulahuen ASM3450938v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/034/509/385/GCA_034509385.1_ASM3450938v1,Trypanosoma cruzi,strain=Tulahuen,ASM3450938v1
GCA_036485875.1,GCA_036485875.1 Trypanosoma cruzi strain=Dm25 ASM3648587v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/036/485/875/GCA_036485875.1_ASM3648587v1,Trypanosoma cruzi,strain=Dm25,ASM3648587v1
GCA_036485885.1,GCA_036485885.1 Trypanosoma cruzi strain=Dm25 ASM3648588v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/036/485/885/GCA_036485885.1_ASM3648588v1,Trypanosoma cruzi,strain=Dm25,ASM3648588v1
GCA_036321185.1,GCA_036321185.1 Trypanosoma lewisi strain=CPO02 ASM3632118v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/036/321/185/GCA_036321185.1_ASM3632118v1,Trypanosoma lewisi,strain=CPO02,ASM3632118v1
GCA_034641325.1,GCA_034641325.1 Endotrypanum monterogeii strain=MCHO/PA/62/M907 ASM3464132v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/034/641/325/GCA_034641325.1_ASM3464132v1,Endotrypanum monterogeii,strain=MCHO/PA/62/M907,ASM3464132v1
GCA_030849835.1,GCA_030849835.1 Herpetomonas samuelpessoai OSU_Hsamu,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/849/835/GCA_030849835.1_OSU_Hsamu,Herpetomonas samuelpessoai,na,OSU_Hsamu
GCA_029168715.1,GCA_029168715.1 Giardia intestinalis ASM2916871v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/168/715/GCA_029168715.1_ASM2916871v1,Giardia intestinalis,na,ASM2916871v1
GCA_029168845.1,GCA_029168845.1 Giardia intestinalis ASM2916884v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/168/845/GCA_029168845.1_ASM2916884v1,Giardia intestinalis,na,ASM2916884v1
GCA_029168785.1,GCA_029168785.1 Giardia intestinalis ASM2916878v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/168/785/GCA_029168785.1_ASM2916878v1,Giardia intestinalis,na,ASM2916878v1
GCA_022985015.1,GCA_022985015.1 Giardia intestinalis USDA_CIA_1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/985/015/GCA_022985015.1_USDA_CIA_1,Giardia intestinalis,na,USDA_CIA_1
GCA_022985025.1,GCA_022985025.1 Giardia intestinalis USDA_DID_1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/985/025/GCA_022985025.1_USDA_DID_1,Giardia intestinalis,na,USDA_DID_1
GCA_026248805.1,GCA_026248805.1 Giardia intestinalis strain=Be-2 ASM2624880v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/026/248/805/GCA_026248805.1_ASM2624880v1,Giardia intestinalis,strain=Be-2,ASM2624880v1
GCA_029168725.1,GCA_029168725.1 Giardia intestinalis ASM2916872v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/168/725/GCA_029168725.1_ASM2916872v1,Giardia intestinalis,na,ASM2916872v1
GCA_029168795.1,GCA_029168795.1 Giardia intestinalis ASM2916879v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/168/795/GCA_029168795.1_ASM2916879v1,Giardia intestinalis,na,ASM2916879v1
GCA_029168855.1,GCA_029168855.1 Giardia intestinalis ASM2916885v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/168/855/GCA_029168855.1_ASM2916885v1,Giardia intestinalis,na,ASM2916885v1
GCA_029168735.1,GCA_029168735.1 Giardia intestinalis ASM2916873v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/168/735/GCA_029168735.1_ASM2916873v1,Giardia intestinalis,na,ASM2916873v1
GCA_029168805.1,GCA_029168805.1 Giardia intestinalis ASM2916880v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/168/805/GCA_029168805.1_ASM2916880v1,Giardia intestinalis,na,ASM2916880v1
GCA_029168835.1,GCA_029168835.1 Giardia intestinalis ASM2916883v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/168/835/GCA_029168835.1_ASM2916883v1,Giardia intestinalis,na,ASM2916883v1
GCA_937900865.1,GCA_937900865.1 Acanthamoeba castellanii SRR3997477_bin.32_CONCOCT_v1.1_MAG,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/937/900/865/GCA_937900865.1_SRR3997477_bin.32_CONCOCT_v1.1_MAG,Acanthamoeba castellanii,na,SRR3997477_bin.32_CONCOCT_v1.1_MAG
GCA_027563095.1,GCA_027563095.1 Naegleria fowleri strain=NF1 ASM2756309v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/027/563/095/GCA_027563095.1_ASM2756309v1,Naegleria fowleri,strain=NF1,ASM2756309v1
GCA_027563055.1,GCA_027563055.1 Naegleria fowleri strain=PA34 ASM2756305v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/027/563/055/GCA_027563055.1_ASM2756305v1,Naegleria fowleri,strain=PA34,ASM2756305v1
GCA_027563075.1,GCA_027563075.1 Naegleria fowleri strain=AR12 ASM2756307v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/027/563/075/GCA_027563075.1_ASM2756307v1,Naegleria fowleri,strain=AR12,ASM2756307v1
GCA_031753475.2,GCA_031753475.2 Eimeria acervulina strain=APU1 E.acer-APU1_APDL.corrected,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/031/753/475/GCA_031753475.2_E.acer-APU1_APDL.corrected,Eimeria acervulina,strain=APU1,E.acer-APU1_APDL.corrected
GCA_031753495.1,GCA_031753495.1 Eimeria maxima strain=APU3 Emax3_APDL-v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/031/753/495/GCA_031753495.1_Emax3_APDL-v1,Eimeria maxima,strain=APU3,Emax3_APDL-v1
GCA_030644505.1,GCA_030644505.1 Eimeria maxima strain=APU2 Emaxima-APU2_hybrid_APDL-v1.0,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/644/505/GCA_030644505.1_Emaxima-APU2_hybrid_APDL-v1.0,Eimeria maxima,strain=APU2,Emaxima-APU2_hybrid_APDL-v1.0
GCA_030415315.1,GCA_030415315.1 Cryptosporidium parvum ASM3041531v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/415/315/GCA_030415315.1_ASM3041531v1,Cryptosporidium parvum,na,ASM3041531v1
GCA_030415355.1,GCA_030415355.1 Cryptosporidium parvum ASM3041535v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/415/355/GCA_030415355.1_ASM3041535v1,Cryptosporidium parvum,na,ASM3041535v1
GCA_030415345.1,GCA_030415345.1 Cryptosporidium parvum ASM3041534v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/415/345/GCA_030415345.1_ASM3041534v1,Cryptosporidium parvum,na,ASM3041534v1
GCA_030415325.1,GCA_030415325.1 Cryptosporidium parvum ASM3041532v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/415/325/GCA_030415325.1_ASM3041532v1,Cryptosporidium parvum,na,ASM3041532v1
GCA_030415335.1,GCA_030415335.1 Cryptosporidium parvum ASM3041533v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/415/335/GCA_030415335.1_ASM3041533v1,Cryptosporidium parvum,na,ASM3041533v1
GCA_035232765.1,GCA_035232765.1 Cryptosporidium parvum strain=IOWA ASM3523276v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/232/765/GCA_035232765.1_ASM3523276v1,Cryptosporidium parvum,strain=IOWA,ASM3523276v1
GCA_947322955.1,GCA_947322955.1 Toxoplasma gondii strain=TgCkUg2 TgCkUg2,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/947/322/955/GCA_947322955.1_TgCkUg2,Toxoplasma gondii,strain=TgCkUg2,TgCkUg2
GCA_033216535.1,GCA_033216535.1 Toxoplasma gondii strain=delta Ku80 TgRH_pasteur,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/033/216/535/GCA_033216535.1_TgRH_pasteur,Toxoplasma gondii,strain=delta Ku80,TgRH_pasteur
GCA_023973825.1,GCA_023973825.1 Plasmodium brasilianum strain=Bolivian I ASM2397382v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/973/825/GCA_023973825.1_ASM2397382v1,Plasmodium brasilianum,strain=Bolivian I,ASM2397382v1
GCA_024442135.1,GCA_024442135.1 Plasmodium falciparum ASM2444213v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/024/442/135/GCA_024442135.1_ASM2444213v1,Plasmodium falciparum,na,ASM2444213v1
GCA_019802515.2,GCA_019802515.2 Plasmodium falciparum strain=KE07 PfKE07,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/802/515/GCA_019802515.2_PfKE07,Plasmodium falciparum,strain=KE07,PfKE07
GCA_019802425.2,GCA_019802425.2 Plasmodium falciparum strain=CO01 PfCO01_corrected_assembly,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/802/425/GCA_019802425.2_PfCO01_corrected_assembly,Plasmodium falciparum,strain=CO01,PfCO01_corrected_assembly
GCA_019802415.2,GCA_019802415.2 Plasmodium falciparum strain=2004 Pf2004,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/802/415/GCA_019802415.2_Pf2004,Plasmodium falciparum,strain=2004,Pf2004
GCA_019802405.2,GCA_019802405.2 Plasmodium falciparum strain=CO01 PfCO01_seq,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/802/405/GCA_019802405.2_PfCO01_seq,Plasmodium falciparum,strain=CO01,PfCO01_seq
GCA_030710385.1,GCA_030710385.1 Plasmodium falciparum ASM3071038v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/710/385/GCA_030710385.1_ASM3071038v1,Plasmodium falciparum,na,ASM3071038v1
